limited  lˈɪmɪɾᵻd

all  ˈɔːl

evidence  ˈɛvɪdəns

consider  kənsˈɪdɚ

corps  kˈɔːɹ

sales  sˈeɪlz

lack  lˈæk

results  ɹɪzˈʌlts

month  mˈʌnθ

four  fˈoːɹ

go  ɡˈoʊ

shot  ʃˈɑːt

religious  ɹɪlˈɪdʒəs

children  tʃˈɪldɹən

seemed  sˈiːmd

whose  hˈuːz

certainly  sˈɜːtənli

religion  ɹɪlˈɪdʒən

concerned  kənsˈɜːnd

father  fˈɑːðɚ

young  jˈʌŋ

former  fˈɔːɹmɚ

to  tˈuː

finally  fˈaɪnəli

program  pɹˈoʊɡɹæm

those  ðˈoʊz

th  tˌiːˈeɪtʃ

under  ˈʌndɚ

women  wˈɪmɪn

sent  sˈɛnt

town  tˈaʊn

woman  wˈʊmən

returned  ɹɪtˈɜːnd

outside  aʊtsˈaɪd

very  vˈɛɹi

none  nˈʌn

choice  tʃˈɔɪs

every  ˈɛvɹi

fall  fˈɔːl

trouble  tɹˈʌbəl

difference  dˈɪfɹəns

continued  kəntˈɪnjuːd

entire  ɛntˈaɪɚ

school  skˈuːl

immediately  ɪmˈiːdɪətli

level  lˈɛvəl

did  dˈɪd

cause  kˈɔːz

list  lˈɪst

gun  ɡˈʌn

large  lˈɑːɹdʒ

p  pˈiː

walked  wˈɔːkt

progress  pɹˈɑːɡɹɛs

science  sˈaɪəns

small  smˈɔːl

added  ˈædᵻd

i'll  ˈaɪl

force  fˈoːɹs

leaders  lˈiːdɚz

ten  tˈɛn

direct  dɚɹˈɛkt

past  pˈæst

second  sˈɛkənd

street  stɹˈiːt

design  dɪzˈaɪn

corner  kˈɔːɹnɚ

further  fˈɜːðɚ

even  ˈiːvən

established  ɪstˈæblɪʃt

what  wˈʌt

stood  stˈʊd

power  pˈaʊɚ

sun  sˈʌn

section  sˈɛkʃən

lead  lˈiːd

near  nˈɪɹ

man's  mˈænz

waiting  wˈeɪɾɪŋ

above  əbˈʌv

new  nˈuː

learned  lˈɜːnd

order  ˈɔːɹdɚ

ever  ˈɛvɚ

public  pˈʌblɪk

told  tˈoʊld

body  bˈɑːdi

full  fˈʊl

christian  kɹˈɪstʃən

degree  dɪɡɹˈiː

never  nˈɛvɚ

here  hˈɪɹ

understanding  ˌʌndɚstˈændɪŋ

water  wˈɔːɾɚ

met  mˈɛt

reaction  ɹɪˈækʃən

let  lˈɛt

groups  ɡɹˈuːps

others  ˈʌðɚz

alone  ɐlˈoʊn

along  ɐlˈɑːŋ

strong  stɹˈɔŋ

change  tʃˈeɪndʒ

obtained  əbtˈeɪnd

boy  bˈɔɪ

great  ɡɹˈeɪt

property  pɹˈɑːpɚɾi

ahead  ɐhˈɛd

technical  tˈɛknɪkəl

involved  ɪnvˈɑːlvd

study  stˈʌdi

larger  lˈɑːɹdʒɚ

completely  kəmplˈiːtli

experience  ɛkspˈiəɹɪəns

husband  hˈʌsbənd

trial  tɹˈaɪəl

amount  ɐmˈaʊnt

products  pɹˈɑːdʌkts

social  sˈoʊʃəl

action  ˈækʃən

military  mˈɪlətˌɛɹi

i'm  ˈaɪm

makes  mˈeɪks

beautiful  bjˈuːɾɪfəl

love  lˈʌv

family  fˈæmɪli

suddenly  sˈʌdənli

merely  mˈɪɹli

private  pɹˈaɪvət

brought  bɹˈɔːt

ask  ˈæsk

defense  dɪfˈɛns

moral  mˈɔːɹəl

movement  mˈuːvmənt

total  tˈoʊɾəl

market  mˈɑːɹkɪt

use  jˈuːs

charge  tʃˈɑːɹdʒ

from  fɹˈʌm

indicated  ˈɪndᵻkˌeɪɾᵻd

would  wˈʊd

army  ˈɑːɹmi

hospital  hˈɑːspɪɾəl

visit  vˈɪzɪt

two  tˈuː

next  nˈɛkst

few  fjˈuː

live  lˈaɪv

doubt  dˈaʊt

music  mjˈuːzɪk

therefore  ðˈɛɹfoːɹ

taken  tˈeɪkən

themselves  ðɛmsˈɛlvz

type  tˈaɪp

until  ʌntˈɪl

today  tədˈeɪ

more  mˈoːɹ

sort  sˈɔːɹt

door  dˈoːɹ

evening  ˈiːvnɪŋ

started  stˈɑːɹɾᵻd

tax  tˈæks

company  kˈʌmpəni

freedom  fɹˈiːdəm

industrial  ɪndˈʌstɹɪəl

arms  ˈɑːɹmz

particular  pɚtˈɪkjʊlɚ

known  nˈoʊn

cases  kˈeɪsᵻz

hold  hˈoʊld

effort  ˈɛfɚt

must  mˈʌst

me  mˈiː

states  stˈeɪts

account  ɐkˈaʊnt

include  ɪnklˈuːd

word  wˈɜːd

room  ɹˈuːm

hour  ˈaɪʊɹ

this  ðˈɪs

car  kˈɑːɹ

work  wˈɜːk

chief  tʃˈiːf

values  vˈæljuːz

can  kˈæn

mr  mˈɪstɚ

following  fˈɑːloʊɪŋ

making  mˈeɪkɪŋ

my  mˈaɪ

example  ɛɡzˈæmpəl

history  hˈɪstɚɹi

control  kəntɹˈoʊl

heart  hˈɑːɹt

figure  fˈɪɡjɚ

give  ɡˈɪv

process  pɹˈɑːsɛs

didn't  dˈɪdnt

high  hˈaɪ

heard  hˈɜːd

something  sˈʌmθɪŋ

want  wˈɑːnt

sense  sˈɛns

standard  stˈændɚd

keep  kˈiːp

association  ɐsˈoʊsɪˈeɪʃən

information  ˌɪnfɚmˈeɪʃən

needs  nˈiːdz

united  juːnˈaɪɾᵻd

end  ˈɛnd

turn  tˈɜːn

rather  ɹˈæðɚ

rhode  ɹˈoʊd

plans  plˈænz

means  mˈiːnz

length  lˈɛŋθ

write  ɹˈaɪt

how  hˈaʊ

hot  hˈɑːt

responsibility  ɹɪspˌɑːnsəbˈɪlɪɾi

answer  ˈænsɚ

instead  ɪnstˈɛd

stock  stˈɑːk

plant  plˈænt

tried  tɹˈaɪd

may  mˈeɪ

after  ˈæftɚ

southern  sˈʌðɚn

ball  bˈɔːl

wrong  ɹˈɔŋ

lot  lˈɑːt

lay  lˈeɪ

coming  kˈʌmɪŋ

president  pɹˈɛzɪdənt

law  lˈɔː

data  dˈeɪɾə

types  tˈaɪps

man  mˈæn

a  ˈeɪ

changes  tʃˈeɪndʒᵻz

short  ʃˈɔːɹt

natural  nˈætʃɚɹəl

remember  ɹɪmˈɛmbɚ

third  θˈɜːd

light  lˈaɪt

lines  lˈaɪnz

st  sˈənt

provide  pɹəvˈaɪd

persons  pˈɜːsənz

ones  wˈʌnz

so  sˈoʊ

writing  ɹˈaɪɾɪŋ

pay  pˈeɪ

looking  lˈʊkɪŋ

make  mˈeɪk

talk  tˈɔːk

that's  ðˈæts

six  sˈɪks

help  hˈɛlp

office  ˈɑːfɪs

don't  dˈoʊnt

numbers  nˈʌmbɚz

developed  dɪvˈɛləpt

over  ˈoʊvɚ

move  mˈuːv

soon  sˈuːn

years  jˈɪɹz

course  kˈoːɹs

attitude  ˈæɾɪtˌuːd

reached  ɹˈiːtʃt

through  θɹˈuː

committee  kəmˈɪɾi

existence  ɛɡzˈɪstəns

cold  kˈoʊld

still  stˈɪl

its  ˈɪts

before  bɪfˈoːɹ

group  ɡɹˈuːp

he's  hˈiːz

personal  pˈɜːsənəl

actually  ˈæktʃuːəli

better  bˈɛɾɚ

window  wˈɪndoʊ

production  pɹədˈʌkʃən

systems  sˈɪstəmz

policy  pˈɑːlɪsi

weeks  wˈiːks

main  mˈeɪn

might  mˈaɪt

image  ˈɪmɪdʒ

happened  hˈæpənd

then  ðˈɛn

them  ðˈɛm

good  ɡˈʊd

return  ɹɪtˈɜːn

greater  ɡɹˈeɪɾɚ

food  fˈuːd

similar  sˈɪmɪlɚ

material  mətˈiəɹɪəl

nation  nˈeɪʃən

effects  ɪfˈɛkts

they  ðˈeɪ

hands  hˈændz

not  nˈɑːt

now  nˈaʊ

day  dˈeɪ

nor  nˈɔːɹ

growing  ɡɹˈoʊɪŋ

name  nˈeɪm

always  ˈɔːlweɪz

university  jˌuːnɪvˈɜːsɪɾi

countries  kˈʌntɹɪz

applied  ɐplˈaɪd

stopped  stˈɑːpt

truth  tɹˈuːθ

each  ˈiːtʃ

found  fˈaʊnd

went  wˈɛnt

higher  hˈaɪɚ

side  sˈaɪd

mean  mˈiːn

heavy  hˈɛvi

development  dɪvˈɛləpmənt

square  skwˈɛɹ

england  ˈɪŋɡlənd

directly  dɚɹˈɛktli

doing  dˈuːɪŋ

house  hˈaʊs

hard  hˈɑːɹd

idea  aɪdˈiə

society  səsˈaɪəɾi

literature  lˈɪɾɚɹətʃɚ

blood  blˈʌd

year  jˈɪɹ

our  ˈaʊɚ

girl  ɡˈɜːl

beyond  bɪjˈɑːnd

special  spˈɛʃəl

out  ˈaʊt

leave  lˈiːv

shown  ʃˈoʊn

opened  ˈoʊpənd

space  spˈeɪs

god  ɡˈɑːd

since  sˈɪns

research  ɹɪsˈɜːtʃ

increase  ˈɪnkɹiːs

method  mˈɛθəd

health  hˈɛlθ

got  ɡˈɑːt

issue  ˈɪʃuː

red  ɹˈɛd

common  kˈɑːmən

earlier  ˈɜːlɪɚ

theory  θˈiəɹi

written  ɹˈɪʔn̩

easily  ˈiːzɪli

cars  kˈɑːɹz

million  mˈɪliən

given  ɡˈɪvən

free  fɹˈiː

quite  kwˈaɪt

reason  ɹˈiːzən

carried  kˈæɹɪd

york  jˈɔːɹk

members  mˈɛmbɚz

put  pˈʊt

horse  hˈɔːɹs

wanted  wˈɑːntᵻd

beginning  bɪɡˈɪnɪŋ

care  kˈɛɹ

training  tɹˈeɪnɪŋ

district  dˈɪstɹɪkt

miss  mˈɪs

english  ˈɪŋɡlɪʃ

could  kˈʊd

days  dˈeɪz

british  bɹˈɪɾɪʃ

times  tˈaɪmz

thing  θˈɪŋ

american  ɐmˈɛɹɪkən

plane  plˈeɪn

place  plˈeɪs

due  dˈuː

forms  fˈɔːɹmz

view  vjˈuː

think  θˈɪŋk

south  sˈaʊθ

first  fˈɜːst

feed  fˈiːd

major  mˈeɪdʒɚ

already  ɔːlɹˈɛdi

feel  fˈiːl

meet  mˈiːt

number  nˈʌmbɚ

one  wˈʌn

feet  fˈiːt

done  dˈʌn

another  ɐnˈʌðɚ

such  sˈʌtʃ

says  sˈɛz

daily  dˈeɪli

open  ˈoʊpən

george  dʒˈɔːɹdʒ

size  sˈaɪz

city  sˈɪɾi

little  lˈɪɾəl

temperature  tˈɛmpɹɪtʃɚ

service  sˈɜːvɪs

needed  nˈiːdᵻd

top  tˈɑːp

girls  ɡˈɜːlz

system  sˈɪstəm

least  lˈiːst

anyone  ˈɛnɪwˌʌn

their  ðˈɛɹ

attack  ɐtˈæk

station  stˈeɪʃən

too  tˈuː

passed  pˈæst

white  wˈaɪt

john  dʒˈɑːn

west  wˈɛst

friend  fɹˈɛnd

gives  ɡˈɪvz

eyes  ˈaɪz

statement  stˈeɪtmənt

that  ðˈæt

hotel  hoʊtˈɛl

serve  sˈɜːv

took  tˈʊk

negro  nˈiːɡɹoʊ

part  pˈɑːɹt

western  wˈɛstɚn

somewhat  sˈʌmwʌt

kept  kˈɛpt

believe  bɪlˈiːv

herself  hɜːsˈɛlf

than  ðˈɐn

population  pˌɑːpjʊlˈeɪʃən

wide  wˈaɪd

kind  kˈaɪnd

b  bˈiː

decided  dᵻsˈaɪdᵻd

effective  ɪfˈɛktɪv

showed  ʃˈoʊd

there's  ðˈɛɹz

character  kˈæɹɪktɚ

rate  ɹˈeɪt

bed  bˈɛd

nations  nˈeɪʃənz

matter  mˈæɾɚ

cost  kˈɔst

attention  ɐtˈɛnʃən

were  wˈɜː

toward  tʊwˈɔːɹd

result  ɹɪzˈʌlt

and  ˈænd

remained  ɹɪmˈeɪnd

ran  ɹˈæn

modern  mˈɑːdɚn

turned  tˈɜːnd

medical  mˈɛdɪkəl

say  sˈeɪ

manner  mˈænɚ

have  hˈæv

need  nˈiːd

seen  sˈiːn

seem  sˈiːm

saw  sˈɔː

any  ˈɛni

sat  sˈæt

strength  stɹˈɛŋθ

latter  lˈæɾɚ

able  ˈeɪbəl

ideas  aɪdˈiəz

note  nˈoʊt

also  ˈɑːlsoʊ

costs  kˈɔsts

take  tˈeɪk

which  wˈɪtʃ

performance  pɚfˈoːɹməns

club  klˈʌb

blue  blˈuː

play  plˈeɪ

sure  ʃˈʊɹ

led  lˈɛd

though  ðˈoʊ

price  pɹˈaɪs

knew  nˈuː

paid  pˈeɪd

most  mˈoʊst

plan  plˈæn

letter  lˈɛɾɚ

organization  ˌɔːɹɡɐnaɪzˈeɪʃən

nothing  nˈʌθɪŋ

america  ɐmˈɛɹɪkə

why  wˈaɪ

appear  ɐpˈɪɹ

democratic  dˌɛməkɹˈæɾɪk

especially  ɪspˈɛʃəli

considered  kənsˈɪdɚd

clear  klˈɪɹ

later  lˈeɪɾɚ

drive  dɹˈaɪv

face  fˈeɪs

looked  lˈʊkt

ways  wˈeɪz

points  pˈɔɪnts

principle  pɹˈɪnsɪpəl

nuclear  nˈuːklɪɹ

fact  fˈækt

saying  sˈeɪɪŋ

particularly  pɚtˈɪkjʊlɚli

show  ʃˈoʊ

bring  bɹˈɪŋ

planning  plˈænɪŋ

radio  ɹˈeɪdɪˌoʊ

earth  ˈɜːθ

fear  fˈɪɹ

determined  dɪtˈɜːmɪnd

fine  fˈaɪn

find  fˈaɪnd

ground  ɡɹˈaʊnd

based  bˈeɪst

knowledge  nˈɑːlɪdʒ

justice  dʒˈʌstɪs

true  tɹˈuː

state  stˈeɪt

should  ʃˈʊd

only  ˈoʊnli

going  ɡˈoʊɪŋ

black  blˈæk

faith  fˈeɪθ

pretty  pɹˈɪɾi

indeed  ˌɪndˈiːd

local  lˈoʊkəl

interested  ˈɪntɹəstᵻd

hope  hˈoʊp

do  dˈuː

his  hˈɪz

hit  hˈɪt

get  ɡˈɛt

de  dˈə

stop  stˈɑːp

likely  lˈaɪkli

cannot  kænˈɑːt

nearly  nˈɪɹli

words  wˈɜːdz

international  ˌɪntɚnˈæʃənəl

report  ɹɪpˈoːɹt

during  dˈʊɹɪŋ

trade  tɹˈeɪd

dr  dˈɑːktɚ

him  hˈɪm

areas  ˈɛɹiəz

scene  sˈiːn

held  hˈɛld

approach  ɐpɹˈoʊtʃ

generally  dʒˈɛnɚɹəli

morning  mˈɔːɹnɪŋ

wasn't  wˈʌznt

bad  bˈæd

miles  mˈaɪlz

she  ʃˈiː

forces  fˈoːɹsᵻz

including  ɪnklˈuːdɪŋ

river  ɹˈɪvɚ

where  wˈɛɹ

wrote  ɹˈoʊt

secretary  sˈɛkɹətɹi

europe  jˈʊɹəp

set  sˈɛt

art  ˈɑːɹt

questions  kwˈɛstʃənz

national  nˈæʃənəl

see  sˈiː

individual  ˌɪndɪvˈɪdʒuːəl

college  kˈɑːlɪdʒ

are  ˈɑːɹ

close  klˈoʊs

activities  æktˈɪvɪɾiz

best  bˈɛst

subject  sˈʌbdʒɛkt

said  sˈɛd

placed  plˈeɪst

federal  fˈɛdɚɹəl

apparently  ɐpˈæɹəntli

away  ɐwˈeɪ

quality  kwˈɑːlɪɾi

increased  ɪnkɹˈiːsd

enough  ɪnˈʌf

future  fjˈuːtʃɚ

various  vˈɛɹɪəs

closed  klˈoʊzd

between  bɪtwˈiːn

